#BJD_TDB(binSize=3)	rel_flux_T1_dfn(binSize=3)	rel_flux_err_T1_dfn(binSize=3)
2459265.277285	0.999497	0.000799
2459265.281332	1.002282	0.000783
2459265.285379	0.999311	0.000779
2459265.289422	0.999575	0.000772
2459265.293464	0.999141	0.000772
2459265.297519	1.001648	0.000776
2459265.301581	1.000348	0.000775
2459265.305639	0.999366	0.000775
2459265.309686	1.000759	0.000776
2459265.313756	1.000948	0.000776
2459265.318698	0.999978	0.000783
2459265.323200	0.999144	0.000780
2459265.327243	0.996857	0.000775
2459265.331297	0.992185	0.000783
2459265.335344	0.987594	0.000773
2459265.339417	0.987561	0.000772
2459265.344147	0.985887	0.000773
2459265.349540	0.985379	0.000769
2459265.353606	0.984264	0.000769
2459265.357795	0.985101	0.000772
2459265.362421	0.985503	0.000755
2459265.366460	0.986097	0.000755
2459265.370503	0.984891	0.000749
2459265.374546	0.984520	0.000752
2459265.378589	0.984480	0.000746
2459265.382635	0.984824	0.000746
2459265.387137	0.983410	0.000746
2459265.392091	0.984191	0.000748
2459265.396130	0.984183	0.000748
2459265.400177	0.983423	0.000752
2459265.404223	0.984947	0.000746
2459265.408278	0.984810	0.000752
2459265.412336	0.985699	0.000754
2459265.416383	0.986866	0.000757
2459265.420422	0.987032	0.000757
2459265.424476	0.986741	0.000754
2459265.428527	0.988340	0.000757
2459265.432573	0.989216	0.000757
2459265.436616	0.993347	0.000758
2459265.440659	0.996881	0.000757
2459265.444694	0.998841	0.000758
2459265.448738	0.998742	0.000757
2459265.452780	1.000694	0.000757
2459265.456823	0.999961	0.000757
2459265.460881	1.000794	0.000756
2459265.464924	1.000142	0.000763
2459265.468975	1.002456	0.000764
2459265.473037	0.998103	0.000767
2459265.477076	0.999391	0.000765
2459265.481127	0.999093	0.000761
2459265.485189	1.001458	0.000759
2459265.489244	0.999808	0.000762
2459265.493290	0.998520	0.000755
2459265.497341	1.000965	0.000761
2459265.501395	1.001328	0.000761
2459265.507243	1.000378	0.000762
2459265.512197	0.999859	0.000762
2459265.515574	1.000394	0.000935
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
